Packet_Number,Current_Time,IP_Address,Packet_Length,Packet_Checksum,Category
138,1550702921.496034,192.168.1.162,137,50950,1
139,1550702921.517102,74.84.192.134,153,6968,1
140,1550702921.517572,192.168.1.162,137,60016,1
141,1550702921.519492,192.168.1.162,649,46123,1
142,1550702921.525044,74.84.192.134,201,12719,1
143,1550702921.525329,74.84.192.134,217,10797,1
144,1550702921.536383,74.84.192.134,137,3636,1
145,1550702921.536718,74.84.192.134,1497,5786,1
146,1550702921.536819,74.84.192.134,1497,11232,1
147,1550702921.536875,74.84.192.134,1497,22782,1
148,1550702921.536923,74.84.192.134,169,7863,1
149,1550702921.537332,192.168.1.162,137,34891,1
150,1550702921.537444,192.168.1.162,137,25724,1
151,1550702921.537548,192.168.1.162,137,22844,1
152,1550702921.537729,74.84.192.134,1257,14253,1
153,1550702921.538116,192.168.1.162,137,42156,1
154,1550702921.543236,192.168.1.162,265,40014,1
155,1550702921.543467,192.168.1.162,1385,37430,1
156,1550702921.566229,74.84.192.134,185,12961,1
157,1550702921.566675,192.168.1.162,137,51052,1
158,1550702921.569981,74.84.192.134,1177,7924,1
159,1550702921.570449,192.168.1.162,137,10005,1
161,1550702921.894639,192.168.1.157,143,55324,1
163,1550702921.997258,192.168.1.157,235,55232,1
164,1550702921.997517,74.84.192.134,185,9262,1
165,1550702921.997616,74.84.192.134,281,19865,1
166,1550702921.997975,192.168.1.162,137,51261,1
167,1550702921.998107,192.168.1.162,137,61458,1
168,1550702922.099435,192.168.1.214,179,43388,1
171,1550702922.918781,192.168.1.1,203,11739,1
172,1550702923.021225,192.168.1.157,235,55232,1
175,1550702924.762261,192.168.1.1,48,60963,0
176,1550702924.762426,192.168.1.162,48,46809,0
178,1550702926.298229,192.168.1.228,344,15814,1
179,1550702926.298614,192.168.1.228,335,15811,1
180,1550702926.707525,192.168.1.157,143,55324,1
182,1550702926.912862,74.84.192.134,185,4992,1
183,1550702926.912991,74.84.192.134,185,28651,1
184,1550702926.913166,192.168.1.162,137,45259,1
185,1550702926.913264,192.168.1.162,137,47689,1
186,1550702927.322776,74.84.192.134,185,28997,1
187,1550702927.323087,192.168.1.162,137,34085,1
188,1550702927.526831,192.168.1.157,143,55324,1
189,1550702927.629166,192.168.1.157,143,55324,1
191,1550702927.936761,192.168.1.157,235,55232,1
192,1550702928.448319,192.168.1.210,68,59535,0
193,1550702928.448786,192.168.1.210,377,59225,1
195,1550702929.062926,192.168.1.157,235,55232,1
199,1550702930.291986,192.168.1.253,383,12345,1
200,1550702930.29253,192.168.1.253,399,12326,1
201,1550702930.598841,192.168.1.202,158,50146,1
202,1550702930.599014,169.254.7.137,158,54477,1
203,1550702930.599376,192.168.1.202,161,50143,1
204,1550702930.599654,169.254.7.137,161,54474,1
206,1550702931.110984,192.168.1.214,179,959,1
208,1550702931.213401,192.168.1.157,235,55232,1
209,1550702931.685963,192.168.1.162,121,45722,1
210,1550702931.707563,74.84.192.134,137,8140,1
213,1550702932.851466,192.168.1.157,143,55324,1
214,1550702933.261271,192.168.1.157,143,55324,1
216,1550702934.182903,192.168.1.157,143,55324,1
217,1550702934.183126,192.168.1.157,235,55232,1
218,1550702934.258967,192.168.1.162,89,28026,0
219,1550702934.271275,74.84.192.134,52,29236,0
221,1550702935.104727,192.168.1.157,235,55232,1
223,1550702935.788885,192.168.1.162,153,14471,1
224,1550702935.789095,192.168.1.162,153,13666,1
225,1550702935.790251,192.168.1.162,153,9955,1
226,1550702935.798361,74.84.192.134,169,14468,1
227,1550702935.799282,192.168.1.162,153,31444,1
228,1550702935.80968,74.84.192.134,169,22335,1
229,1550702935.810043,192.168.1.162,137,27797,1
230,1550702935.811715,74.84.192.134,153,6737,1
231,1550702935.811989,192.168.1.162,137,3158,1
232,1550702935.813469,192.168.1.162,729,42991,1
233,1550702935.831374,74.84.192.134,137,17240,1
234,1550702935.832098,74.84.192.134,297,16204,1
235,1550702935.832437,192.168.1.162,137,259,1
236,1550702935.832862,192.168.1.162,185,44002,1
237,1550702935.834388,192.168.1.162,313,18109,1
238,1550702935.834511,192.168.1.162,1241,62138,1
239,1550702935.834678,192.168.1.162,937,15532,1
240,1550702935.85146,74.84.192.134,201,8482,1
241,1550702935.851583,74.84.192.134,137,30400,1
242,1550702935.851792,192.168.1.162,137,56665,1
243,1550702935.852058,192.168.1.162,169,41405,1
244,1550702935.852966,74.84.192.134,169,25475,1
245,1550702935.853302,192.168.1.162,137,271,1
246,1550702935.86611,74.84.192.134,585,21256,1
247,1550702935.866236,74.84.192.134,521,23810,1
248,1550702935.866273,74.84.192.134,473,2956,1
249,1550702935.866515,192.168.1.162,137,32598,1
250,1550702935.866594,192.168.1.162,137,6572,1
251,1550702935.866639,192.168.1.162,137,40697,1
252,1550702935.866955,192.168.1.162,185,41702,1
253,1550702935.880998,74.84.192.134,137,14836,1
255,1550702936.742994,192.168.1.214,125,50968,1
257,1550702936.879351,192.168.1.162,319,14589,1
258,1550702937.255147,192.168.1.157,235,55232,1
259,1550702937.766883,192.168.1.214,40,16955,0
261,1550702937.767199,192.168.1.214,164,17936,1
264,1550702939.098655,192.168.1.157,424,50693,1
265,1550702939.099336,192.168.1.157,433,50684,1
266,1550702939.0997,192.168.1.157,311,50806,1
267,1550702939.100482,192.168.1.157,375,50742,1
268,1550702939.100952,192.168.1.157,385,50732,1
269,1550702939.101279,192.168.1.157,143,55324,1
270,1550702939.101709,192.168.1.157,311,50806,1
271,1550702939.102483,192.168.1.157,375,50742,1
272,1550702939.104036,192.168.1.157,385,50732,1
273,1550702939.303667,74.84.192.134,169,1408,1
274,1550702939.304053,192.168.1.162,137,32068,1
275,1550702939.304303,192.168.1.162,169,37930,1
276,1550702939.316436,74.84.192.134,137,9354,1
277,1550702939.405391,192.168.1.157,143,55324,1
278,1550702939.712492,192.168.1.228,94,20219,0
279,1550702939.712701,192.168.1.228,118,20194,1
280,1550702939.712913,192.168.1.157,143,55324,1
281,1550702939.713178,192.168.1.214,94,43622,0
284,1550702939.713851,192.168.1.236,95,24685,0
285,1550702939.793052,192.168.1.162,185,64175,1
286,1550702939.809681,74.84.192.134,137,28970,1
287,1550702939.809838,74.84.192.134,185,12158,1
288,1550702939.810221,192.168.1.162,137,1614,1
289,1550702939.91761,192.168.1.157,235,55232,1
290,1550702940.736575,192.168.1.214,40,16955,0
291,1550702940.736754,192.168.1.214,94,2881,0
294,1550702940.839129,192.168.1.214,164,8417,1
296,1550702940.942138,192.168.1.157,235,55232,1
298,1550702941.248706,192.168.1.253,157,11685,1
299,1550702941.555908,192.168.1.210,169,58130,1
301,1550702941.658393,192.168.1.253,155,11650,1
303,1550702941.762238,192.168.1.162,121,37571,1
304,1550702941.780019,74.84.192.134,137,12861,1
305,1550702941.863057,192.168.1.210,169,58084,1
307,1550702942.170342,192.168.1.210,169,58046,1
309,1550702942.375427,192.168.1.210,434,57771,1
312,1550702943.092025,74.84.192.134,201,22776,1
313,1550702943.092384,192.168.1.162,137,12928,1
315,1550702943.661872,192.168.1.162,267,1796,1
316,1550702943.672582,18.205.93.208,245,4439,1
317,1550702943.672727,192.168.1.162,52,2013,0
319,1550702943.70625,192.168.1.214,94,59715,0
321,1550702944.257963,192.168.1.162,89,28026,0
322,1550702944.275126,74.84.192.134,52,8440,0
323,1550702944.275297,74.84.192.134,89,13959,0
324,1550702944.275368,192.168.1.162,52,28063,0
325,1550702944.58458,192.168.1.162,153,6714,1
326,1550702944.605766,74.84.192.134,153,1926,1
327,1550702944.606284,192.168.1.162,137,6068,1
328,1550702944.607812,192.168.1.162,649,49539,1
329,1550702944.626578,74.84.192.134,137,14896,1
330,1550702944.62793,74.84.192.134,281,17951,1
331,1550702944.628271,192.168.1.162,137,42067,1
332,1550702944.628743,192.168.1.162,185,33198,1
333,1550702944.630198,192.168.1.162,617,52469,1
334,1550702944.645957,74.84.192.134,137,10534,1
335,1550702944.646449,74.84.192.134,473,18122,1
336,1550702944.646542,74.84.192.134,169,23743,1
337,1550702944.646595,74.84.192.134,137,24403,1
338,1550702944.646911,192.168.1.162,137,13541,1
339,1550702944.64701,192.168.1.162,137,48629,1
340,1550702944.647077,192.168.1.162,137,26533,1
341,1550702944.64753,192.168.1.162,137,63257,1
342,1550702944.664995,74.84.192.134,137,24323,1
344,1550702945.344763,192.168.1.157,143,55324,1
345,1550702945.344892,192.168.1.157,143,55324,1
346,1550702945.345755,192.168.1.210,434,57321,1
349,1550702945.856803,192.168.1.157,143,55324,1
350,1550702945.857038,192.168.1.157,235,55232,1
351,1550702946.368759,192.168.1.253,120,35521,1
352,1550702946.36892,192.168.1.236,95,24469,0
353,1550702946.67593,192.168.1.234,157,56769,1
355,1550702946.98317,192.168.1.157,235,55232,1
356,1550702947.290407,192.168.1.234,155,56743,1
358,1550702948.061053,192.168.1.162,82,1981,0
359,1550702948.109583,192.168.1.157,143,55324,1
360,1550702948.115614,18.205.93.208,52,4633,0
361,1550702948.314365,192.168.1.157,143,55324,1
362,1550702948.621425,192.168.1.157,143,55324,1
364,1550702948.928966,192.168.1.157,235,55232,1
366,1550702949.338785,192.168.1.210,434,56808,1
368,1550702949.748088,192.168.1.228,157,14202,1
370,1550702949.748473,192.168.1.157,235,55232,1
371,1550702949.850646,192.168.1.214,179,18373,1
373,1550702950.158091,192.168.1.234,383,55756,1
374,1550702950.362874,192.168.1.234,399,55728,1
376,1550702950.772654,192.168.1.234,389,55718,1
377,1550702950.773275,192.168.1.234,391,55715,1
378,1550702950.773407,192.168.1.157,143,55324,1
379,1550702950.774096,192.168.1.234,344,55749,1
380,1550702950.874822,192.168.1.234,335,55756,1
381,1550702951.079222,192.168.1.157,143,55324,1
382,1550702951.386424,192.168.1.157,143,55324,1
383,1550702951.591248,192.168.1.157,143,55324,1
385,1550702951.850217,192.168.1.162,121,28180,1
386,1550702951.872264,74.84.192.134,137,2519,1
387,1550702952.001015,192.168.1.157,235,55232,1
389,1550702952.922532,192.168.1.1,203,5091,1
390,1550702952.922826,192.168.1.157,235,55232,1
391,1550702952.96137,192.168.1.162,777,50492,1
392,1550702952.984008,74.84.192.134,137,1207,1
393,1550702953.537573,74.84.192.134,361,64598,1
394,1550702953.537701,74.84.192.134,281,14240,1
395,1550702953.53774,74.84.192.134,233,25349,1
396,1550702953.537771,74.84.192.134,425,2356,1
397,1550702953.537983,192.168.1.162,137,11092,1
398,1550702953.538104,192.168.1.162,137,52409,1
399,1550702953.538183,192.168.1.162,137,41995,1
400,1550702953.538227,192.168.1.162,137,10708,1
401,1550702953.542189,192.168.1.162,313,51697,1
402,1550702953.554221,74.84.192.134,137,25844,1
403,1550702953.554682,74.84.192.134,185,14667,1
404,1550702953.555081,192.168.1.162,137,10262,1
405,1550702953.555471,192.168.1.162,185,4062,1
406,1550702953.575469,74.84.192.134,137,22169,1
407,1550702953.63767,74.84.192.134,217,21059,1
408,1550702953.637829,74.84.192.134,217,28005,1
409,1550702953.637882,74.84.192.134,169,21352,1
410,1550702953.637927,74.84.192.134,185,26960,1
411,1550702953.638196,192.168.1.162,137,35329,1
412,1550702953.638355,192.168.1.162,137,61647,1
413,1550702953.638585,192.168.1.162,137,46540,1
414,1550702953.638847,192.168.1.162,137,52376,1
415,1550702953.639051,192.168.1.162,185,53820,1
416,1550702953.652817,74.84.192.134,137,29247,1
418,1550702954.663616,192.168.1.228,383,13073,1
419,1550702954.664219,192.168.1.228,399,13050,1
420,1550702954.766079,192.168.1.228,401,13036,1
422,1550702955.175663,192.168.1.157,235,55232,1
423,1550702955.176226,192.168.1.228,389,13041,1
424,1550702955.176954,192.168.1.228,391,13034,1
425,1550702955.277986,192.168.1.228,344,13074,1
427,1550702956.711403,192.168.1.157,143,55324,1
429,1550702957.018769,192.168.1.253,383,10873,1
430,1550702957.019338,192.168.1.253,399,10854,1
431,1550702957.019676,192.168.1.157,143,55324,1
432,1550702957.020284,192.168.1.253,401,10841,1
433,1550702957.121132,192.168.1.253,389,10844,1
434,1550702957.12172,192.168.1.1,405,18663,1
435,1550702957.122494,192.168.1.1,477,31975,1
436,1550702957.123283,192.168.1.1,473,31978,1
437,1550702957.124142,192.168.1.1,453,31997,1
438,1550702957.124906,192.168.1.1,485,31964,1
439,1550702957.125575,192.168.1.1,467,31981,1
440,1550702957.126352,192.168.1.1,469,31978,1
441,1550702957.127043,192.168.1.1,469,18598,1
442,1550702957.223393,192.168.1.157,143,55324,1
443,1550702957.223865,192.168.1.253,391,10841,1
444,1550702957.326215,192.168.1.253,344,10885,1
445,1550702957.326842,192.168.1.210,434,55862,1
447,1550702957.428795,192.168.1.157,143,55324,1
448,1550702957.429194,192.168.1.253,335,10888,1
449,1550702957.735482,192.168.1.157,235,55232,1
451,1550702958.185672,192.168.1.162,153,35555,1
452,1550702958.186641,192.168.1.162,153,25813,1
453,1550702958.198641,74.84.192.134,169,28314,1
454,1550702958.200207,192.168.1.162,153,43129,1
455,1550702958.209853,74.84.192.134,185,11428,1
456,1550702958.220734,74.84.192.134,153,54,1
457,1550702958.221089,192.168.1.162,137,10188,1
458,1550702958.2226,192.168.1.162,729,31217,1
459,1550702958.240469,74.84.192.134,137,16200,1
460,1550702958.240817,74.84.192.134,297,12504,1
461,1550702958.24107,192.168.1.162,137,63366,1
462,1550702958.241545,192.168.1.162,185,8883,1
463,1550702958.243109,192.168.1.162,313,44614,1
464,1550702958.243266,192.168.1.162,1497,2252,1
465,1550702958.243344,192.168.1.162,409,51723,1
466,1550702958.243462,192.168.1.162,281,32970,1
467,1550702958.260399,74.84.192.134,201,24509,1
468,1550702958.260554,74.84.192.134,169,26804,1
469,1550702958.260887,192.168.1.162,137,62501,1
470,1550702958.260969,192.168.1.162,137,45892,1
471,1550702958.261134,192.168.1.162,169,27497,1
472,1550702958.262011,74.84.192.134,137,577,1
473,1550702958.281494,74.84.192.134,137,14405,1
474,1550702958.28688,74.84.192.134,649,1135,1
475,1550702958.28704,74.84.192.134,697,6625,1
476,1550702958.287149,74.84.192.134,665,9017,1
477,1550702958.287503,192.168.1.162,137,32,1
478,1550702958.287643,192.168.1.162,137,59775,1
479,1550702958.287715,192.168.1.162,137,376,1
480,1550702958.288023,192.168.1.162,185,52424,1
481,1550702958.341329,74.84.192.134,137,6450,1
482,1550702958.657148,192.168.1.157,235,55232,1
484,1550702959.192629,192.168.1.162,153,2446,1
485,1550702959.19354,192.168.1.162,153,1905,1
486,1550702959.215727,74.84.192.134,185,6848,1
487,1550702959.216491,192.168.1.162,153,61226,1
488,1550702959.217173,192.168.1.162,153,13913,1
489,1550702959.217241,192.168.1.162,153,62438,1
490,1550702959.219204,74.84.192.134,201,26296,1
491,1550702959.232132,74.84.192.134,185,64403,1
492,1550702959.23246,192.168.1.162,137,18492,1
493,1550702959.235187,74.84.192.134,153,1637,1
494,1550702959.235317,74.84.192.134,153,25766,1
495,1550702959.235562,192.168.1.162,137,13138,1
496,1550702959.23563,192.168.1.162,137,39556,1
497,1550702959.23716,192.168.1.162,729,49437,1
498,1550702959.238276,192.168.1.162,729,48549,1
499,1550702959.255071,74.84.192.134,137,65233,1
500,1550702959.255224,74.84.192.134,137,20977,1
501,1550702959.255928,74.84.192.134,297,14133,1
502,1550702959.256111,74.84.192.134,297,5294,1
503,1550702959.256458,192.168.1.162,137,49997,1
504,1550702959.256573,192.168.1.162,137,4208,1
505,1550702959.257028,192.168.1.162,185,5958,1
506,1550702959.259039,192.168.1.162,185,58084,1
507,1550702959.260183,192.168.1.162,313,13899,1
508,1550702959.262247,192.168.1.162,313,32126,1
509,1550702959.262379,192.168.1.162,1177,35305,1
510,1550702959.274799,74.84.192.134,201,17425,1
511,1550702959.274927,74.84.192.134,169,27961,1
512,1550702959.274963,74.84.192.134,137,15939,1
513,1550702959.274994,74.84.192.134,201,10829,1
514,1550702959.275213,192.168.1.162,137,411,1
515,1550702959.27532,192.168.1.162,137,27271,1
516,1550702959.275394,192.168.1.162,137,26766,1
517,1550702959.275491,192.168.1.162,169,46001,1
518,1550702959.275592,74.84.192.134,169,63974,1
519,1550702959.275673,192.168.1.162,169,2804,1
520,1550702959.275886,192.168.1.162,137,6519,1
521,1550702959.286067,74.84.192.134,601,405,1
522,1550702959.286226,74.84.192.134,169,27702,1
523,1550702959.286281,74.84.192.134,185,27590,1
524,1550702959.286552,192.168.1.162,137,5194,1
525,1550702959.286808,192.168.1.162,137,9799,1
526,1550702959.286924,192.168.1.162,137,3751,1
527,1550702959.287417,192.168.1.162,185,49351,1
528,1550702959.288445,192.168.1.162,1497,24388,1
529,1550702959.28856,192.168.1.162,553,4266,1
530,1550702959.304145,74.84.192.134,137,28609,1
531,1550702959.3043,74.84.192.134,137,29678,1
532,1550702959.344977,74.84.192.134,137,64266,1
533,1550702959.362575,74.84.192.134,697,63863,1
534,1550702959.362916,192.168.1.162,137,11552,1
535,1550702959.363377,192.168.1.162,185,4079,1
536,1550702959.383755,74.84.192.134,137,17710,1
538,1550702960.705209,192.168.1.157,235,55232,1
541,1550702962.000717,192.168.1.162,121,40897,1
542,1550702962.001603,74.84.192.134,185,2674,1
543,1550702962.001681,74.84.192.134,281,9388,1
544,1550702962.001907,192.168.1.162,137,62974,1
545,1550702962.001964,192.168.1.162,137,55737,1
546,1550702962.024125,74.84.192.134,137,2058,1
547,1550702962.206579,192.168.1.162,169,25319,1
548,1550702962.206715,192.168.1.162,169,60138,1
549,1550702962.216011,74.84.192.134,185,16683,1
550,1550702962.217598,192.168.1.162,153,45966,1
551,1550702962.22765,74.84.192.134,185,17645,1
552,1550702962.239002,74.84.192.134,153,934,1
553,1550702962.239491,192.168.1.162,137,16838,1
554,1550702962.24197,192.168.1.162,649,12268,1
555,1550702962.258044,74.84.192.134,137,2040,1
556,1550702962.266814,74.84.192.134,1497,63092,1
557,1550702962.266984,74.84.192.134,1497,19086,1
558,1550702962.267412,192.168.1.162,137,50380,1
559,1550702962.2698,74.84.192.134,1017,62938,1
560,1550702962.270214,192.168.1.162,137,40328,1
561,1550702962.27284,192.168.1.162,233,63834,1
562,1550702962.273226,192.168.1.162,313,18781,1
563,1550702962.273379,192.168.1.162,1497,50592,1
564,1550702962.273494,192.168.1.162,505,31281,1
565,1550702962.273624,192.168.1.162,409,9005,1
566,1550702962.287818,74.84.192.134,137,6364,1
567,1550702962.288285,74.84.192.134,425,22961,1
568,1550702962.288518,74.84.192.134,201,1599,1
569,1550702962.288732,192.168.1.162,137,45324,1
570,1550702962.288932,192.168.1.162,137,30606,1
571,1550702962.289459,192.168.1.162,169,15558,1
572,1550702962.290543,74.84.192.134,169,15968,1
573,1550702962.290949,192.168.1.162,137,29567,1
574,1550702962.33812,74.84.192.134,681,21844,1
575,1550702962.338287,74.84.192.134,713,15520,1
576,1550702962.338344,74.84.192.134,185,6589,1
577,1550702962.338701,192.168.1.162,137,55653,1
578,1550702962.338824,192.168.1.162,137,24289,1
579,1550702962.33889,192.168.1.162,137,49257,1
580,1550702962.339382,192.168.1.162,185,39791,1
581,1550702962.396299,74.84.192.134,137,11951,1
582,1550702962.548195,192.168.1.157,143,55324,1
584,1550702962.753085,192.168.1.157,143,55324,1
585,1550702963.060305,192.168.1.157,143,55324,1
586,1550702963.367589,192.168.1.157,235,55232,1
588,1550702964.347545,192.168.1.162,89,28026,0
589,1550702964.361077,74.84.192.134,52,6863,0
591,1550702965.722762,192.168.1.204,156,50146,1
