Packet_Number,Current_Time,IP_Address,IP_Address_Norm,Source_Port,Packet_Length,Packet_Checksum,DF,MF,Day,Month,Hour,Minute,Second,Day_of_Year,CPU_Percent,CPU_Times_Percent_User,CPU_Times_Percent_Sys,CPU_Times_Percent_Idle,CPU_Stats_CTX_Switches,CPU_Stats_Interrupts,CPU_Stats_Soft_Interrupts,CPU_Stats_Syscalls,Virtual_Memory,Disk_Usage,Disk_IO_Counters_Read_Count,Disk_IO_Counters_Write_Count,Disk_IO_Counters_Read_Bytes,Disk_IO_Counters_Write_Bytes,Disk_IO_Counters_Read_Time,Disk_IO_Counters_Write_Time,Net_IO_Counters_Packet_Sent,Net_IO_Counters_Packets_Recv,Net_IO_Counters_Bytes_Sent,Net_IO_Counters_Bytes_Recv,TTL,Category
22,1552801167,10.0.2.15,100215,443,71,34267,16384,8192,Sun,Mar,1,39,26,76,0,0,20,55969703,24167529,16364521,0,46.6,31.8,153268,447320,2852229120,13691052032,120524,1224416,575135,1068096,420141183,1064991307,0,64,Web_Attack
23,1552801167,10.0.2.15,100215,443,40,34297,16384,8192,Sun,Mar,1,39,26,76,0,0,20,55969735,24167553,16364559,0,46.6,31.8,153268,447320,2852229120,13691052032,120524,1224416,575135,1068096,420141183,1064991307,0,64,Web_Attack
24,1552801167,99.84.181.73,998418173,167,40,55001,16384,8192,Sun,Mar,1,39,27,76,0,0,20,55969787,24167601,16364615,0,46.6,31.8,153268,447320,2852229120,13691052032,120524,1224416,575135,1068096,420141183,1064991307,0,64,Web_Attack
25,1552801167,99.84.181.73,998418173,178,40,55000,16384,8192,Sun,Mar,1,39,27,76,0,0,22,55969822,24167636,16364653,0,46.6,31.8,153268,447320,2852229120,13691052032,120524,1224416,575135,1068096,420141183,1064991307,0,64,Web_Attack
26,1552801167,99.84.181.73,998418173,171,40,54999,16384,8192,Sun,Mar,1,39,27,76,0,0,20,55969846,24167675,16364693,0,46.6,31.8,153268,447320,2852229120,13691052032,120524,1224416,575135,1068096,420141183,1064991307,0,64,Web_Attack
27,1552801168,10.0.2.15,100215,443,40,20491,16384,8192,Sun,Mar,1,39,27,76,0,0,20,55969894,24167710,16364740,0,46.6,31.8,153268,447320,2852229120,13691052032,120524,1224416,575135,1068096,420141183,1064991307,0,64,Web_Attack
28,1552801173,10.0.2.15,100215,443,86,46976,16384,8192,Sun,Mar,1,39,33,76,0,0,20,55970743,24167999,16365042,0,46.6,31.8,153268,447322,2852229120,13691092992,120524,1224416,575141,1068102,420141759,1064991976,0,64,Web_Attack
29,1552801173,10.0.2.15,100215,443,86,46975,16384,8192,Sun,Mar,1,39,33,76,0,0,20,55970765,24168020,16365080,0,46.6,31.8,153268,447322,2852229120,13691092992,120524,1224416,575141,1068102,420141759,1064991976,0,64,Web_Attack
30,1552801174,10.195.6.40,10195640,80,118,56880,16384,8192,Sun,Mar,1,39,33,76,0,0,20,55970797,24168063,16365129,0,46.6,31.8,153268,447322,2852229120,13691092992,120524,1224416,575141,1068102,420141759,1064991976,4.8,64,Web_Attack
31,1552801174,10.195.6.40,10195640,189,147,56850,16384,8192,Sun,Mar,1,39,33,76,0,0,20,55970845,24168095,16365176,0,46.6,31.8,153268,447322,2852229120,13691092992,120524,1224416,575141,1068102,420141759,1064991976,0,64,Web_Attack
